(6755, datetime.datetime(2022, 11, 14, 10, 49, 46), 59, '0', '0', 265.0, 329.0, 337.0, 36.0, 2.0, 'ok')
(6762, datetime.datetime(2022, 11, 14, 10, 50, 4), 59, '0', '0', 264.0, 329.0, 333.0, 44.0, 2.0, 'ok')
(6763, datetime.datetime(2022, 11, 14, 10, 50, 6), 59, '0', '0', 264.0, 328.0, 333.0, 44.0, 2.0, 'ok')
(6764, datetime.datetime(2022, 11, 14, 10, 50, 8), 59, '0', '0', 264.0, 329.0, 333.0, 45.0, 2.0, 'ok')
(6765, datetime.datetime(2022, 11, 14, 10, 50, 10), 59, '0', '0', 264.0, 329.0, 333.0, 46.0, 2.0, 'ok')
(6766, datetime.datetime(2022, 11, 14, 10, 50, 12), 59, '0', '0', 265.0, 329.0, 335.0, 47.0, 2.0, 'ok')
(6767, datetime.datetime(2022, 11, 14, 10, 50, 14), 59, '0', '0', 264.0, 329.0, 333.0, 48.0, 2.0, 'ok')
(6768, datetime.datetime(2022, 11, 14, 10, 50, 16), 59, '0', '0', 264.0, 329.0, 333.0, 48.0, 2.0, 'ok')
(6769, datetime.datetime(2022, 11, 14, 10, 50, 18), 59, '0', '0', 264.0, 329.0, 332.0, 49.0, 2.0, 'ok')
(6770, datetime.datetime(2022, 11, 14, 10, 50, 20), 59, '0', '0', 264.0, 328.0, 334.0, 50.0, 2.0, 'ok')
(6771, datetime.datetime(2022, 11, 14, 10, 50, 22), 59, '0', '0', 264.0, 328.0, 332.0, 51.0, 2.0, 'ok')
(6772, datetime.datetime(2022, 11, 14, 10, 50, 24), 59, '0', '0', 264.0, 328.0, 333.0, 52.0, 2.0, 'ok')
(6773, datetime.datetime(2022, 11, 14, 10, 50, 26), 59, '0', '0', 265.0, 328.0, 334.0, 52.0, 2.0, 'ok')
(6774, datetime.datetime(2022, 11, 14, 10, 50, 28), 59, '0', '0', 264.0, 328.0, 334.0, 53.0, 2.0, 'ok')
(6775, datetime.datetime(2022, 11, 14, 10, 50, 30), 59, '0', '0', 263.0, 328.0, 332.0, 54.0, 2.0, 'ok')
(6776, datetime.datetime(2022, 11, 14, 10, 50, 32), 59, '0', '0', 264.0, 329.0, 336.0, 55.0, 2.0, 'ok')
(6777, datetime.datetime(2022, 11, 14, 10, 50, 34), 59, '0', '0', 265.0, 325.0, 332.0, 56.0, 2.0, 'ok')
(6778, datetime.datetime(2022, 11, 14, 10, 50, 36), 59, '0', '0', 264.0, 330.0, 335.0, 56.0, 2.0, 'ok')
(6779, datetime.datetime(2022, 11, 14, 10, 50, 38), 59, '0', '0', 265.0, 328.0, 335.0, 57.0, 2.0, 'ok')
(6780, datetime.datetime(2022, 11, 14, 10, 50, 40), 59, '0', '0', 263.0, 329.0, 334.0, 58.0, 2.0, 'ok')
(6781, datetime.datetime(2022, 11, 14, 10, 50, 42), 59, '0', '0', 264.0, 328.0, 334.0, 59.0, 2.0, 'ok')
(6782, datetime.datetime(2022, 11, 14, 10, 50, 44), 59, '0', '0', 264.0, 328.0, 334.0, 60.0, 2.0, 'ok')
(6783, datetime.datetime(2022, 11, 14, 10, 50, 46), 59, '0', '0', 265.0, 328.0, 334.0, 61.0, 2.0, 'ok')
(6784, datetime.datetime(2022, 11, 14, 10, 50, 48), 59, '0', '0', 264.0, 328.0, 335.0, 62.0, 2.0, 'ok')
(6785, datetime.datetime(2022, 11, 14, 10, 50, 50), 59, '0', '0', 264.0, 328.0, 334.0, 63.0, 2.0, 'ok')
(6786, datetime.datetime(2022, 11, 14, 10, 50, 52), 59, '0', '0', 265.0, 329.0, 335.0, 64.0, 2.0, 'ok')
(6787, datetime.datetime(2022, 11, 14, 10, 50, 54), 59, '0', '0', 265.0, 330.0, 335.0, 65.0, 2.0, 'ok')
(6788, datetime.datetime(2022, 11, 14, 10, 50, 56), 59, '0', '0', 264.0, 328.0, 333.0, 66.0, 2.0, 'ok')
(6789, datetime.datetime(2022, 11, 14, 10, 50, 58), 59, '0', '0', 264.0, 329.0, 336.0, 67.0, 2.0, 'ok')
(6790, datetime.datetime(2022, 11, 14, 10, 51), 59, '0', '0', 265.0, 328.0, 336.0, 68.0, 2.0, 'ok')
(6791, datetime.datetime(2022, 11, 14, 10, 51, 2), 59, '0', '0', 264.0, 329.0, 334.0, 69.0, 2.0, 'ok')
(6792, datetime.datetime(2022, 11, 14, 10, 51, 4), 59, '0', '0', 264.0, 329.0, 329.0, 69.0, 2.0, 'ok')
(6793, datetime.datetime(2022, 11, 14, 10, 51, 6), 59, '0', '0', 265.0, 329.0, 334.0, 70.0, 2.0, 'ok')
(6794, datetime.datetime(2022, 11, 14, 10, 51, 8), 59, '0', '0', 264.0, 328.0, 334.0, 71.0, 2.0, 'ok')
(6795, datetime.datetime(2022, 11, 14, 10, 51, 10), 59, '0', '0', 264.0, 328.0, 334.0, 71.0, 2.0, 'ok')
(6796, datetime.datetime(2022, 11, 14, 10, 51, 12), 59, '0', '0', 265.0, 329.0, 333.0, 72.0, 2.0, 'ok')
(6797, datetime.datetime(2022, 11, 14, 10, 51, 15), 59, '0', '0', 264.0, 329.0, 334.0, 73.0, 2.0, 'ok')
(6798, datetime.datetime(2022, 11, 14, 10, 51, 16), 59, '0', '0', 265.0, 329.0, 331.0, 73.0, 2.0, 'ok')
(6799, datetime.datetime(2022, 11, 14, 10, 51, 18), 59, '0', '0', 265.0, 328.0, 331.0, 74.0, 2.0, 'ok')
(6800, datetime.datetime(2022, 11, 14, 10, 51, 20), 59, '0', '0', 264.0, 329.0, 329.0, 75.0, 2.0, 'ok')
(6801, datetime.datetime(2022, 11, 14, 10, 51, 22), 59, '0', '0', 265.0, 329.0, 330.0, 76.0, 2.0, 'ok')
(6802, datetime.datetime(2022, 11, 14, 10, 51, 25), 59, '0', '0', 266.0, 329.0, 333.0, 77.0, 2.0, 'ok')
(6803, datetime.datetime(2022, 11, 14, 10, 51, 26), 59, '0', '0', 264.0, 329.0, 335.0, 78.0, 2.0, 'ok')
(6804, datetime.datetime(2022, 11, 14, 10, 51, 28), 59, '0', '0', 265.0, 328.0, 330.0, 79.0, 2.0, 'ok')
(6805, datetime.datetime(2022, 11, 14, 10, 51, 30), 59, '0', '0', 264.0, 328.0, 330.0, 80.0, 2.0, 'ok')
(6806, datetime.datetime(2022, 11, 14, 10, 51, 32), 59, '0', '0', 264.0, 329.0, 331.0, 81.0, 2.0, 'ok')
(6807, datetime.datetime(2022, 11, 14, 10, 51, 34), 59, '0', '0', 265.0, 329.0, 321.0, 82.0, 2.0, 'ok')
(6808, datetime.datetime(2022, 11, 14, 10, 51, 36), 59, '0', '0', 265.0, 329.0, 324.0, 83.0, 2.0, 'ok')
(6809, datetime.datetime(2022, 11, 14, 10, 51, 38), 59, '0', '0', 266.0, 328.0, 323.0, 83.0, 2.0, 'ok')
(6810, datetime.datetime(2022, 11, 14, 10, 51, 41), 59, '0', '0', 265.0, 328.0, 323.0, 85.0, 2.0, 'ok')
